Country,Sex Ratio,GDP per Capita,Unique Top Artists
Greece,"[0.8, 0.11666666666666667, 0.08333333333333333, 0.0]",39864,"{'Light', 'DJ Cron', 'MUNEYLXRD', 'Dani Gambino', 'Destiny', 'KONY', 'Ggreco', 'Strat', 'Saske', 'RACK', 'Misk', 'Skoul', 'Sigma', 'Yll Limani', 'Ramoon', 'Lava', 'Jo Lids', 'Michael Touratzidis', 'Christos Mastoras', 'SNIK', 'Hawk', 'VLOSPA', 'Mente Fuerte', 'ROPEX LATERIO', 'Fullife', 'SIDARTA', 'Anastasia', 'Lil Koni', 'Alecc', 'Skive', 'Oge', 'iñigo quintero', 'Trannos', 'Tate McRae', 'Mad Clip', 'Sin Laurent', 'Bloody Hawk', 'Mateos Nps', 'Immune', 'Baghdad', 'Roi 6/12', 'Ortiz', 'Tugan', 'Bossikan', 'Ioulia Kallimani', 'ZAF', 'Nineb Youk', 'X ORFEAS', 'Kidd', 'Ivan Greko', 'Paris Kalpos', 'TOQUEL', 'Dirty Harry', 'RICTA', 'Wang', 'BeTaf Beats', 'Echo', 'Night Grind', 'Beyond', 'LILA'}"
Guatemala,"[0.8636363636363636, 0.11363636363636363, 0.0, 0.022727272727272728]",10595,"{'Jung Kook', 'Michelle Maciel', 'Plan B', 'Latto', 'Chino Pacas', 'Myke Towers', 'Alex Favela', 'Bellakath', 'Calle 24', 'Eslabon Armado', 'Dani Flow', 'Marshmello', 'Grupo Firme', 'Bad Bunny', 'Feid', 'Natanael Cano', 'Fuerza Regida', 'Yng Lvcas', 'Manuel Turizo', 'Carin Leon', 'Tainy', 'Chencho Corleone', 'Darell', 'Grupo Frontera', 'iñigo quintero', 'J Balvin', 'Gabito Ballesteros', 'Gerardo Coronel', 'Quevedo', 'Joaquin Medina', 'Grupo Marca Registrada', 'Piso 21', 'LATIN MAFIA', 'Peso Pluma', 'Junior H', 'Eden Muñoz', 'Yahritza Y Su Esencia', 'Maluma', 'Oscar Maydon', 'Código FN', 'Belanova', 'Young Miko', 'Humbe', 'KAROL G'}"
Honduras,"[0.875, 0.125, 0.0, 0.0]",7163,"{'Jung Kook', 'Tony Dize', 'Plan B', 'Latto', 'Chino Pacas', 'Myke Towers', 'Calle 24', 'Eslabon Armado', 'Marshmello', 'Grupo Firme', 'Bad Bunny', 'Feid', 'Yng Lvcas', 'Fuerza Regida', 'Carin Leon', 'Tainy', 'Chencho Corleone', 'Jimin', 'Mora', 'Darell', 'Grupo Frontera', 'iñigo quintero', 'YOVNGCHIMI', 'J Balvin', 'Gabito Ballesteros', 'Gerardo Coronel', 'Quevedo', 'Bryant Myers', 'JIN', 'Arcángel', 'Tokischa', 'Peso Pluma', 'Junior H', 'Jack Harlow', 'Jhayco', 'Bad Gyal', 'Maluma', 'Young Miko', 'KAROL G', 'Luar La L'}"
Hong Kong,"[0.5833333333333334, 0.375, 0.0, 0.041666666666666664]",72861,"{'JENNIE', 'Jung Kook', 'Central Cee', 'Major Lazer', 'Anson Lo 盧瀚霆', 'Latto', 'The Kid LAROI', 'IVE', 'MC 張天賦', '陳卓賢 Ian', 'Tyson Yoshi', 'YOASOBI', 'DJ Snake', 'NewJeans', 'Jack Harlow', 'Hins Cheung', 'Keung To', 'LE SSERAFIM', 'Doja Cat', '(G)I-DLE', 'Dear Jane', 'Taylor Swift', 'V', 'Tate McRae'}"
Hungary,"[0.7666666666666667, 0.2, 0.03333333333333333, 0.0]",43601,"{'4s Street', 'VZS', 'Young Fly', 'KKevin', 'David Kushner', 'Kain', 'Tomi', 'Dzsúdló', 'LMEN PRALA', 'Hundred Sins', 'BENNETT', 'BSW', 'Lord Panamo', 'Pogány Induló', 'Ekhoe', 'Kenya Grace', 'Bruno X Spacc', 'ANUBII$', 'Csoky', 'Krúbi', 'DESH', 'Azahriah', 'Beton.Hofi', 'Copy Con', 'Mihályfi Luca', 'Doja Cat', 'iñigo quintero', 'Grasa', 'Tate McRae', 'VALMAR'}"
Iceland,"[0.6, 0.4, 0.0, 0.0]",69833,"{'Drake', 'Aron Can', 'Dua Lipa', 'Wham!', 'Lil Binni', 'Laddi', 'RAYE', 'ICEGUYS', 'Mitski', 'SZA', 'Bubbi Morthens', 'Daniil', 'Kenya Grace', 'ISSI', 'BRÍET', 'Steindi Jr.', 'Hafdís Huld', 'Birnir', 'Mariah Carey', 'Käärijä', 'iñigo quintero', 'Yeat', 'Tyla', 'Lord Huron', 'Doja Cat', 'Sexyy Red', 'cassö', 'The Beatles', 'Taylor Swift', 'Izleifur', 'Luigi', 'Tate McRae', 'Friðrik Dór', 'PATRi!K', 'D-Block Europe'}"
India,"[0.7910447761194029, 0.19402985074626866, 0.0, 0.014925373134328358]",9183,"{'Shreya Ghoshal', 'Javed-Mohsin', 'Rashmeet Kaur', 'Prashant Ingole', 'Amitabha Bhattacharya', 'Avvy Sra', 'Asees Kaur', 'Shadab Faridi', 'Rony Ajnali', 'Ikky', 'Sia', 'The Paul', 'Yo Yo Honey Singh', 'Karan Aujla', 'Kumaar', 'Ranveer Singh', 'Aditya Gadhvi', 'B Praak', 'MC SQUARE', 'Romy', 'Sachet Tandon', 'Mohit Chauhan', 'Rahul Mishra', 'Jay Trak', 'Anirudh Ravichander', 'Jonita Gandhi', 'Priya Mali', 'Sharn', 'Super Subu', 'Greg Kurstin', 'Diljit Dosanjh', 'Preston Pablo', 'King', 'AP Dhillon', 'Jubin Nautiyal', '40k', 'Denny', 'Vishal Mishra', 'Tanishk Bagchi', 'Anvita Dutt', 'Jaani', 'Gill Machhrai', 'Altamash Faridi', 'Nikhita Gandhi', 'Jasleen Royal', 'Shubh', 'Amitabh Bhattacharya', 'AUR', 'Madan Mohan', 'Prabh Singh', 'Pritam', 'Shilpa Rao', 'Darshan Raval', 'Mithoon', 'Aditya A', 'Kunaal Vermaa', 'Sachet-Parampara', 'Parampara Tandon', 'Achint', 'Alka Yagnik', 'Asal Kolaar', 'Sachin-Jigar', 'Thalapathy Vijay', 'Varun Jain', 'Hiten', 'Dulquer Salmaan', 'Arijit Singh'}"
Indonesia,"[0.5714285714285714, 0.3673469387755102, 0.02040816326530612, 0.04081632653061224]",15834,"{'JENNIE', 'Jung Kook', 'Arsy Widianto', 'Lily-Rose Depp', 'Latto', 'Nadin Amizah', 'Batas Senja', 'Seventeen', 'NIKI', 'Fiersa Besari', 'Virgoun', 'Suara Kayu', 'Andra & The Backbone', 'Last Child', 'DJ PIMI', 'Aan Story', 'Miley Cyrus', 'NDX A.K.A.', 'Dewa 19', 'Daft Punk', 'Tate McRae', 'Anggi Marito', 'Aziz Hedra', 'Elsya', 'The Weeknd', 'Hindia', 'raissa anggiani', 'Tulus', 'Tiara Andini', 'For Revenge', 'Audy', 'Fabio Asher', 'Nadhif Basalamah', 'Element', 'Raim Laode', 'Ghea Indrawari', 'Mitski', 'Devano', 'Anne-Marie', 'Arctic Monkeys', 'Iwan Fals', 'Idgitaf', 'Mahalini', 'Jaz', 'James Arthur', 'Donne Maula', 'Feby Putri', 'Nidji', 'Taylor Swift'}"
Ireland,"[0.5957446808510638, 0.3617021276595745, 0.0, 0.0425531914893617]",137638,"{'Olivia Rodrigo', 'Noah Kahan', 'Post Malone', 'Wham!', 'Peggy Gou', 'RAYE', 'The Cranberries', 'Jozzy', 'Dave', 'Jazzy', 'Coldplay', 'Fred again..', 'Vance Joy', 'Hannah Laing', 'Kenya Grace', 'Richy Mitch & The Coal Miners', 'Harry Styles', 'Mariah Carey', 'Chasing Abbey', 'Paolo Nutini', 'Lord Huron', 'RoRo', 'Sonny Fodera', 'Tate McRae', 'Obongjayar', 'D-Block Europe', 'Tyla', 'Tom Odell', 'MK', 'David Kushner', 'Central Cee', 'Dua Lipa', 'Fleetwood Mac', 'Troye Sivan', 'Mitski', 'Billy Gillies', 'Hannah Boleyn', 'Kacey Musgraves', 'Clementine Douglas', 'Hozier', 'Doja Cat', 'The Goo Goo Dolls', 'Billie Eilish', 'cassö', 'Taylor Swift', 'Zach Bryan', 'The Beatles'}"
Israel,"[0.7142857142857143, 0.2857142857142857, 0.0, 0.0]",54771,"{'Olivia Rodrigo', 'Tuna', 'ששון איפרם שאולוב', 'Odeya', 'Eviatar Banai', 'יגל אושרי', 'Jasmin Moallem', 'Static', 'Hanan Ben Ari', 'David Broza', 'Guy Mentesh', 'Peled', 'Infected Mushroom', 'Mor', 'Arctic Monkeys', 'Osher Cohen', 'Doli & Penn', 'Mergui', 'Marina Maximilian', 'Kenya Grace', 'ליעד מאיר', 'E-Z', 'Peer Tasi', 'Inbal Bibi', 'Omer Adam', 'Doja Cat', 'Ravid Plotnik', 'Avraham Tal', 'Nastia Rod', 'Eyal Golan', 'iñigo quintero', 'Eden Hason', 'Tate McRae', 'Avi Aburomi', 'Benaia Barabi'}"
Italy,"[0.875, 0.125, 0.0, 0.0]",54259,"{'Geolier', 'Rhove', 'BLANCO', 'Myke Towers', 'Ernia', 'Merk & Kremont', 'Tedua', 'Rose Villain', 'ANNA', 'Don Pero', 'Salmo', 'VillaBanks', 'Tananai', 'Emma', 'Fivio Foreign', 'Pinguini Tattici Nucleari', 'Alfa', 'Andry The Hitmaker', 'Slings', 'Kid Yugi', 'iñigo quintero', 'Sfera Ebbasta', 'Lazza', 'Fabri Fibra', 'Shiva', 'Finesse', 'Niky Savage', 'BIA', 'AVA', 'Coez', 'Bello Figo', 'Takagi & Ketra', 'Guè', 'Frah Quintale', 'Yung Snapp', 'Michelangelo', 'Marracash', 'Noyz Narcos', 'Angelina Mango', 'Capo Plaza', 'Calcutta ', 'Boro', 'Artie 5ive', 'Tony Effe', 'The Kolors', 'Drillionaire', 'Bresh', 'Medy'}"
Japan,"[0.6470588235294118, 0.20588235294117646, 0.029411764705882353, 0.11764705882352941]",52120,"{'Jung Kook', 'Sonoko Inoue', 'King Gnu', 'back number', 'ヨルシカ', 'shy taupe', 'V', 'Latto', 'SPITZ', 'Macaroni Empitsu', '10-FEET', 'SEKAI NO OWARI', 'BE:FIRST', 'Kenshi Yonezu', 'OFFICIAL HIGE DANDISM', 'Soushi Sakiyama', 'natori', 'YOASOBI', 'tuki.', 'NewJeans', 'Jack Harlow', 'Ado', 'MY FIRST STORY', 'Mrs. GREEN APPLE', '音田 雅則', 'Fujii Kaze', 'Tani Yuuki', 'Yuuri', 'LE SSERAFIM', 'マルシィ', 'Hitsujibungaku', 'Tatsuya Kitani', 'Vaundy', 'Saucy Dog'}"
Kazakhstan,"[0.6744186046511628, 0.2558139534883721, 0.06976744186046512, 0.0]",32712,"{'JENNIE', 'Jung Kook', 'The Neighbourhood', 'Hiro', 'yatashigang', 'Lily-Rose Depp', 'Shiza', 'Latto', 'Sevak', 'Skryptonite', 'Junior', 'K-Chante', 'Kenya Grace', 'Irina Kairatovna', 'INTERWORLD', 'Mc Gw', 'Dj Brunin XM', 'Darkhan Juzz', 'Daft Punk', 'Tate McRae', 'V $ X V PRiNCE', 'The Weeknd', 'Bakr', 'KZA Produções', 'JANAGA', 'Mitski', 'Bibi Babydoll', 'Жугунусов Мирас', 'De Lacure', 'Arctic Monkeys', 'Mc Menor Do Alvorada', 'Кот Балу', 'ZWE1HVNDXR', 'DJ Snake', 'Jack Harlow', 'Ulukmanapo', 'KRBK', 'S3BZS', 'Xcho', 'Charusha', 'Bonapart', 'Doja Cat', 'Sadraddin'}"
Latvia,"[0.65, 0.2833333333333333, 0.06666666666666667, 0.0]",40892,"{'Steve Lacy', 'Jung Kook', 'The Neighbourhood', 'Kendrick Lamar', 'Kali Uchis', 'Latto', 'Peggy Gou', 'Три дня дождя', 'RAYE', 'Madonna', 'The Game', 'SPLYXER', 'Kenya Grace', 'Gunna', 'MONA', 'Playboi Carti', 'Harry Styles', 'Big Baby Tape', 'Travis Scott', 'Yeat', 'TV Girl', 'Lord Huron', 'Lana Del Rey', '$ourJ', 'Frank Ocean', 'Daft Punk', 'Empire of the Sun', 'Tate McRae', 'David Guetta', 'kizaru', 'D-Block Europe', 'Groove Dealers', 'Tyla', 'Drake', 'Tom Odell', 'The Weeknd', 'David Kushner', 'Tyler, The Creator', 'Dua Lipa', 'SUICIDAL-IDOL', 'Bebe Rexha', 'Mitski', 'J. Cole', 'Memphis Cult', 'Cigarettes After Sex', 'Arctic Monkeys', 'Dwele', 'Kanye West', 'XXXTENTACION', 'Moya Mishel', 'Jay Rock', 'A-Europa', 'ANNA ASTI', 'Lil Peep', 'Doja Cat', 'Aarne', '50 Cent', 'cassö', 'Taylor Swift', 'Singapūras Satīns'}"
Lithuania,"[0.6153846153846154, 0.36538461538461536, 0.019230769230769232, 0.0]",49245,"{'Jung Kook', 'The Neighbourhood', 'Latto', 'Peggy Gou', 'Madonna', 'RAYE', 'Dave', 'Tory Lanez', 'Karališka Erdvė', 'Rokas Yan', 'Nombeko Auguste', 'Kenya Grace', 'Gunna', 'Furytto', 'Playboi Carti', 'Harry Styles', 'Taylor Swift', 'Adrina', 'Rokas', 'Yeat', 'GJan', 'TV Girl', 'Lana Del Rey', 'Frank Ocean', 'iñigo quintero', 'Tate McRae', 'Tyla', 'D-Block Europe', 'Drake', 'The Weeknd', 'David Kushner', 'Central Cee', 'Evgenya Redko', 'Jovani', 'SUICIDAL-IDOL', ""Aliyah's Interlude"", 'Troye Sivan', 'Hotel Ugly', 'Mitski', 'Cigarettes After Sex', 'Arctic Monkeys', 'Dwele', 'Proflame', 'Kanye West', 'Jessica Shy', 'Jack Harlow', 'Remis Retro', 'Doja Cat', 'Justinas Jarutis', 'cassö', 'The Kolors', 'Dua Lipa'}"
Luxembourg,"[0.6, 0.37142857142857144, 0.02857142857142857, 0.0]",143304,"{""Heuss L'enfoiré"", 'Imen Es', 'Tom Odell', 'Jung Kook', 'David Kushner', 'Central Cee', 'Lossa', 'Latto', 'RAYE', 'BENNETT', 'David Guetta', 'Bebe Rexha', 'Dave', 'Alonzo', 'Gazo', 'Loreen', 'Apache 207', 'Bad Bunny', 'Kenya Grace', 'Matthew Schultz', 'Abou Debeing', 'Soolking', 'Taylor Swift', 'Mariah Carey', 'Miley Cyrus', 'Jungeli', 'Doja Cat', 'KeBlack', 'cassö', 'Dua Lipa', 'iñigo quintero', 'Udo Lindenberg', 'Tate McRae', 'Tyla', 'D-Block Europe'}"
Malaysia,"[0.3902439024390244, 0.5853658536585366, 0.0, 0.024390243902439025]",37083,"{'JENNIE', 'Olivia Rodrigo', 'Jung Kook', 'Lily-Rose Depp', 'Latto', 'Awdella', 'SZA', 'Saixse', 'NewJeans', 'Kenya Grace', 'Miley Cyrus', 'd4vd', 'Ruth B.', 'One Direction', 'Daft Punk', 'Tate McRae', 'Anggi Marito', 'Fadhilah Intan', 'Sabrina Carpenter', 'Aziz Hedra', 'The Weeknd', 'FIFTY FIFTY', 'Fabio Asher', 'Nadhif Basalamah', 'Ghea Indrawari', 'Mitski', 'Anne-Marie', 'Arctic Monkeys', 'DJ Snake', 'Jack Harlow', 'Justin Bieber', 'Masdo', 'Mahalini', 'LE SSERAFIM', 'Doja Cat', 'James Arthur', 'Billie Eilish', 'Taylor Swift', 'dhruv', 'Aisyah Aziz', 'New West'}"
Mexico,"[0.8936170212765957, 0.0851063829787234, 0.0, 0.02127659574468085]",24976,"{'Alan Dazmel', 'El Gudi', 'Yeri Mua', 'Luis R Conriquez', 'Alfredo Olivas', 'Chino Pacas', 'Alex Favela', 'Bellakath', 'Myke Towers', 'Calle 24', 'Eslabon Armado', 'Dani Flow', 'Los Dareyes De La Sierra', 'Marshmello', 'Grupo Firme', 'Bad Bunny', 'Feid', 'Natanael Cano', 'Fuerza Regida', 'Doble ONE Flow Letal', 'Yng Lvcas', 'Carin Leon', 'Xavi', 'Uzielito Mix', 'Oviña', 'Grupo Frontera', 'iñigo quintero', 'Jasiel Nuñez', 'Panter Bélico', 'Jey F', 'Gabito Ballesteros', 'Joel De La P', 'Joaquin Medina', 'Grupo Marca Registrada', 'Tito Double P', 'El Bogueto', 'LATIN MAFIA', 'Peso Pluma', 'Junior H', 'Eden Muñoz', 'Maluma', 'Código FN', 'Oscar Maydon', 'KAROL G', 'Belanova', 'Humbe', 'Michelle Maciel'}"
Morocco,"[0.875, 0.10416666666666667, 0.020833333333333332, 0.0]",10408,"{'MHD', 'Jung Kook', 'Duke', 'Latto', 'Raste', 'Aezaddy', 'SativaMusic', 'Niro', 'kouz1', 'Lbenj', 'Kenya Grace', 'Morad', 'Stormy', 'Muslim', 'Maes', 'Mons', 'Inkonnu', 'YAM', 'DYSTINCT', 'iñigo quintero', 'V', 'Snor', 'Tate McRae', 'Moha K', 'Cheba Warda', 'Draganov', 'Mounim Slimani', 'Ayoub Anbaoui', 'Naza', 'Bo9al', 'Hassa1', 'Gazo', 'Baby Gang', 'Lartiste', 'Unleaded', 'Jack Harlow', 'Dizzy DROS', 'Houssainy', 'Jul', 'Soolking', 'TIF', 'Don Bigg', 'Bobo', 'ElGrandeToto', 'GIMS', 'Kira7', 'Mocci', 'Anys'}"
Netherlands,"[0.6625, 0.3, 0.0125, 0.025]",73317,"{'Post Malone', 'Wham!', 'Djaga Djaga', 'Peggy Gou', 'RAYE', 'BENNETT', 'Josylvio', 'Suzan & Freek', 'Claude', 'Alok', 'Ronnie Flex', 'Kenya Grace', 'Trobi', 'Racoon', 'Sam Smith', 'The Chainsmokers', 'Conor Maynard', 'OneRepublic', 'Mariah Carey', 'Zoë Tauran', 'iñigo quintero', 'Maan', 'Tate McRae', 'Tyla', 'D-Block Europe', 'Tom Odell', 'Jonna Fraser', 'Enny-Mae', 'SERA', 'Lijpe', 'Mart Hoogkamer', 'Tabitha', 'Anne-Marie', 'Niklas Dee', 'KA', 'S10', 'Kevin', 'Calvin Harris', 'Antybanty', 'Caza', 'Nathan Dawe', 'Doja Cat', 'Nothing But Thieves', 'Son Mieux', 'Lost Frequencies', 'Philly', 'Dua Lipa', 'The Beatles', 'Sluwe Ollie', 'Goldband', 'Tino Martin', 'Lyente', 'Old Jim', 'Ella Henderson', 'Moeman', 'Noano', 'Douwe Bob', 'KATNUF', 'Bokke8', 'Alessio', 'Burna Boy', 'Boef', 'David Guetta', 'Mae Stephens', 'Kris Kross Amsterdam', 'David Kushner', 'Bebe Rexha', 'Marco Schuitmaker', 'ZANA', 'Teddy Swims', 'Luke Combs', 'Sonny Wern', 'Norma Jean Martine', 'Joel Corry', 'Billie Eilish', 'cassö', 'Taylor Swift', 'Quinten Circle', 'Shania Twain', 'Ofenbach'}"
New Zealand,"[0.64, 0.32, 0.02, 0.02]",53809,"{'Olivia Rodrigo', 'Noah Kahan', 'Takura', 'Corrella', 'Madonna', 'RAYE', 'SZA', 'Dave', 'Vance Joy', 'Trigga', 'Flowdan', 'Kenya Grace', 'Gunna', 'Playboi Carti', 'Harry Styles', 'Taylor Swift', 'OneRepublic', 'Miley Cyrus', 'Lord Huron', 'Creedence Clearwater Revival', 'Sexyy Red', 'Frank Ocean', 'Tate McRae', 'Tyla', 'D-Block Europe', 'IRAH', 'Drake', 'The Weeknd', 'David Kushner', 'Central Cee', 'Selena Gomez', 'Fleetwood Mac', 'Morgan Wallen', 'Mitski', 'J. Cole', 'Rema', 'L.A.B.', 'Teddy Swims', 'Luke Combs', 'Paul Russell', 'Miguel', 'Kacey Musgraves', 'Bou', 'Doja Cat', 'Billie Eilish', 'cassö', 'Dua Lipa', 'Zach Bryan', 'Chase & Status', 'The Beatles'}"
Nicaragua,"[0.8837209302325582, 0.11627906976744186, 0.0, 0.0]",7642,"{'Jung Kook', 'Plan B', 'Latto', 'Chino Pacas', 'Myke Towers', 'Luis Mexia', 'Calle 24', 'Ozuna', 'Eslabon Armado', 'Marshmello', 'Grupo Firme', 'Bad Bunny', 'Feid', 'Yng Lvcas', 'Fuerza Regida', 'Manuel Turizo', 'Carin Leon', 'Chencho Corleone', 'Jimin', 'Mora', 'Darell', 'Bacilos', 'Grupo Frontera', 'iñigo quintero', 'YOVNGCHIMI', 'J Balvin', 'Gabito Ballesteros', 'Gerardo Coronel', 'Quevedo', 'Bryant Myers', 'Milo j', 'Bizarrap', 'Piso 21', 'Tokischa', 'Peso Pluma', 'Junior H', 'Jhayco', 'Bad Gyal', 'Maluma', 'Young Miko', 'Tego Calderón', 'KAROL G', 'Luar La L'}"
Nigeria,"[0.7941176470588235, 0.17647058823529413, 0.029411764705882353, 0.0]",6148,"{'Bella Shmurda', 'Fave', 'Mohbad', 'Seyi Vibez', 'Kizz Daniel', 'Asake', 'Tems', 'Victony', 'Omah Lay', 'Rema', 'Davido', 'Cruel Santino', 'Shallipopi', 'Jeriq', 'Burna Boy', 'Young Jonn', 'Lojay', 'Olamide', 'Qing Madi', 'Blaqbonez', 'Chris Brown', 'Bnxn', 'Pa Monday-Edo', 'Wale', 'ODUMODUBLVCK', 'Crayon', 'Babyboy AV', 'Fireboy DML', 'Bloody Civilian', 'Tega Boi Dc', 'Khaid', 'Ayra Starr', 'Zerrydl', 'Amaarae'}"
Norway,"[0.6031746031746031, 0.2857142857142857, 0.09523809523809523, 0.015873015873015872]",82236,"{'C.Gambino', 'Olivia Rodrigo', 'UNDERGRUNN', 'Wham!', 'Oscar Blesson', 'LilNeya', 'RAYE', 'LilPu$$y', 'Sia', 'Kaizers Orchestra', 'Gutterommet', 'Marstein', 'Kenya Grace', 'Tyr', 'Chris Abolade', 'Cezinando', 'Bausa', 'Sportsalleen', 'Mariah Carey', 'LilRizze', 'b.G', 'Lord Huron', 'iñigo quintero', 'Roc Boyz', 'David Guetta', 'Tate McRae', 'Tyla', 'D-Block Europe', 'Michael Bublé', 'bibbebaby', 'Kudos', 'David Kushner', 'Tom Odell', 'Stig Brenner', 'Dua Lipa', 'Kjartan Lauritzen', 'Phill', 'Magasinet', '23', 'Victoria Nadine', 'Troye Sivan', 'Bebe Rexha', 'Delara', 'Segertåget', 'Emma Steinbakken', 'Coucheron', 'Teddy Swims', 'LilBing', 'Ballinciaga', 'LilElli$', 'El Papi', 'Randi Oline', 'Hver gang vi møtes', 'Kacey Musgraves', 'Beathoven', 'Doja Cat', 'DJ MøMø', 'Billie Eilish', 'cassö', 'Taylor Swift', 'Zach Bryan', 'Golfklubb', 'The Beatles'}"
Pakistan,"[0.8571428571428571, 0.12698412698412698, 0.0, 0.015873015873015872]",6773,"{'Shreya Ghoshal', 'Jung Kook', 'Raffey Anwar', 'Rashmeet Kaur', 'Latto', 'Paradox', 'Sia', 'Ikky', 'Kaifi Khalil', 'The Paul', 'Aditya Rikhari', 'thiarajxtt', 'Dhanju', 'Karan Aujla', 'Kumaar', 'Shinda Kahlon', 'Ranveer Singh', 'Sachet Tandon', 'Starboy X', 'Jay Trak', 'Taimour Baig', 'Arijit Singh', 'Anirudh Ravichander', 'Jonita Gandhi', 'Sharn', 'Greg Kurstin', 'Diljit Dosanjh', 'SARRB', 'Bir', 'Talha Anjum', 'Major Lazer', 'AP Dhillon', 'Sidhu Moose Wala', '40k', 'Saad Lamjarred', 'Vishal Mishra', 'Talwiinder', 'Umair', 'Jaani', 'DJ Snake', 'Preston Pablo', 'Bayaan', 'Shubh', 'Jasleen Royal', 'Abdul Hannan', 'AUR', 'Prabh Singh', 'Jack Harlow', 'Adnan Dhool', 'Shilpa Rao', 'Darshan Raval', 'Amitabh Bhattacharya', 'Madan Mohan', 'Sachet-Parampara', 'Pritam', 'Rovalio', 'Hasan Raheem', 'Parampara Tandon', 'Parmish Verma', 'Sultaan', 'Rajat Nagpal', 'Dulquer Salmaan', 'Avvy Sra'}"
Panama,"[0.8444444444444444, 0.13333333333333333, 0.022222222222222223, 0.0]",42738,"{'Haquil', 'Jung Kook', 'Eladio Carrion', 'LH', 'Plan B', 'Latto', 'Myke Towers', 'Ozuna', 'SMILE BEATS', 'BARBEL', 'Burna Boy', 'Bad Bunny', 'Feid', 'Manuel Turizo', 'Carin Leon', 'Tainy', 'Chencho Corleone', 'Mora', 'Darell', 'Grupo Frontera', 'iñigo quintero', 'Brytiago', 'Yandel', 'YOVNGCHIMI', 'Bombermusik', 'Valentino GRM', 'Quevedo', 'Bryant Myers', 'Milo j', 'Bizarrap', 'JEYSON', 'Dei V', 'Tokischa', 'Alec Roman', 'Peso Pluma', 'Jhayco', 'Jack Harlow', 'Bad Gyal', 'Maluma', 'Young Miko', 'Taiu', 'KAROL G', 'Luar La L', 'Anyuri', 'Frank ""El Santo""'}"
